# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
CYP2C9		Cytochrome P450 2C9	CYP2C10
PLEKHF2		Pleckstrin homology domain-containing family F member 2	ZFYVE18
PAK2		Serine/threonine-protein kinase PAK 2	
MAS1		Proto-oncogene Mas	MAS
ESRRB		Steroid hormone receptor ERR2	ERRB2,ESRL2,NR3B2
PPP2R3A		Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha	PPP2R3
DHX40		Probable ATP-dependent RNA helicase DHX40	DDX40,ARG147
FAM20C		Extracellular serine/threonine protein kinase FAM20C	DMP4
NEXMIF		Neurite extension and migration factor	
STH		Saitohin	
ENC1		Ectoderm-neural cortex protein 1	KLHL37,NRPB,PIG10
FADS1		Acyl-CoA (8-3)-desaturase	FADSD5
PDZD8		PDZ domain-containing protein 8	PDZK8
IFT54		Intraflagellar transport protein 54	MIPT3,TRAF3IP1
COG7		Conserved oligomeric Golgi complex subunit 7	
KSR2		Kinase suppressor of Ras 2	
OR5D16		Olfactory receptor 5D16	
RAB40AL		Ras-related protein Rab-40A-like	RLGP
SIRT2		NAD-dependent protein deacetylase sirtuin-2	SIR2L,SIR2L2
FER1L6		Fer-1-like protein 6	C8orfK23
SLC26A7		Anion exchange transporter	SUT2
NPHP1		Nephrocystin-1	NPH1
LAMTOR5		Ragulator complex protein LAMTOR5	HBXIP,XIP
SSR2		Translocon-associated protein subunit beta	TRAPB,HSD25
APCS		Serum amyloid P-component	PTX2
HAND1		Heart- and neural crest derivatives-expressed protein 1	BHLHA27,EHAND
CSF3		Granulocyte colony-stimulating factor	C17orf33,GCSF
GGA2		ADP-ribosylation factor-binding protein GGA2	
SYNPO2L		Synaptopodin 2-like protein	
CUL5		Cullin-5	VACM1
SMARCD1		SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	BAF60A
NRG3		Pro-neuregulin-3, membrane-bound isoform	
SHISA2		Protein shisa-2 homolog	C13orf13,TMEM46
RASSF2		Ras association domain-containing protein 2	CENP-34
SERPINA12		Serpin A12	
DOLPP1		Dolichyldiphosphatase 1	LSFR2
PTPRN2		Receptor-type tyrosine-protein phosphatase N2	
LEKR1		Protein LEKR1	
H2BC5		Histone H2B type 1-D	H2BFB,HIRIP2,HIST1H2BD
MRPS28		Small ribosomal subunit protein bS1m	MRPS35
CD72		B-cell differentiation antigen CD72	
CST3		Cystatin-C	
RBBP8		DNA endonuclease RBBP8	CTIP
TNRC6C		Trinucleotide repeat-containing gene 6C protein	
RGCC		Regulator of cell cycle RGCC	C13orf15,RGC32
ALOX5AP		Arachidonate 5-lipoxygenase-activating protein	FLAP
FABP5		Fatty acid-binding protein 5	
PRMT7		Protein arginine N-methyltransferase 7	
DAW1		Dynein assembly factor with WD repeat domains 1	ODA16,WDR69
OR8U3		Olfactory receptor 8U3	OR5R1,OR5R1P
CPZ		Carboxypeptidase Z	
LDHC		L-lactate dehydrogenase C chain	LDH3,LDHX
PPP4R3A		Serine/threonine-protein phosphatase 4 regulatory subunit 3A	PP4R3A,SMEK1,MSTP033
BEND2		BEN domain-containing protein 2	CXorf20
CCS		Copper chaperone for superoxide dismutase	
TAS2R45		Taste receptor type 2 member 45	GPR59
INPP4B		Inositol polyphosphate 4-phosphatase type II	
KRT31		Keratin, type I cuticular Ha1	HHA1,HKA1,KRTHA1
TPRX1		Tetra-peptide repeat homeobox protein 1	
CD200R1L		Cell surface glycoprotein CD200 receptor 2	CD200R2
SPATA32		Spermatogenesis-associated protein 32	C17orf46,TEX34
CCT8		T-complex protein 1 subunit theta	C21orf112,CCTQ
SPRED2		Sprouty-related, EVH1 domain-containing protein 2	
PTH2R		Parathyroid hormone 2 receptor	PTHR2
FAM13A		Protein FAM13A	FAM13A1
ELAPOR2		Endosome/lysosome-associated apoptosis and autophagy regulator family member 2	EIG121L
PCNX4		Pecanex-like protein 4	C14orf135,FBP2,PCNXL4
DR1		Protein Dr1	
C12orf43		Protein CUSTOS	CUSTOS
CCZ1		Vacuolar fusion protein CCZ1 homolog	C7orf28A
CARD11		Caspase recruitment domain-containing protein 11	CARMA1
POU6F2		POU domain, class 6, transcription factor 2	RPF1
STXBP3		Syntaxin-binding protein 3	
MIA		Melanoma-derived growth regulatory protein	
C12orf56		Uncharacterized protein C12orf56	
PPIL4		Peptidyl-prolyl cis-trans isomerase-like 4	
TSSK3		Testis-specific serine/threonine-protein kinase 3	SPOGA3,STK22C
GAPDH		Glyceraldehyde-3-phosphate dehydrogenase	GAPD,CDABP0047
PAQR8		Membrane progestin receptor beta	C6orf33,LMPB1,MPRB
SLC25A37		Mitoferrin-1	MFRN,MSCP,HT015
CEP57		Centrosomal protein of 57 kDa	TSP57
UGT3A1		UDP-glycosyltransferase 3A1	
PSG8		Pregnancy-specific beta-1-glycoprotein 8	
