# congenital adrenal hyperplasia デモ用の候補リスト（1000 遺伝子）— メカニズム形式（any of these steps）の検証用
# 作成 2026-09-15。順序は下の構成の順（段階 0 以降は並びに依存しない）。
#   1. 正解 3: CYP21A2（原因、Open Targets 0.853・遺伝学 0.96）、
#      CRHR1（crinecerfont、ChEMBL CHEMBL291657 CRF1 受容体拮抗薬、NCT04490915）、
#      MC2R（atumelnant、NCT05907291 の登録に「MC2R antagonist」）
#   2. 別の病型の原因 6: CYP11B1, CYP17A1, POR, STAR, HSD3B2, CYP11A1（Open Targets 遺伝学 0.77〜0.95）
#   3. メカニズム関連 10（UniProt 機能で確認）
#      フィードバック: NR3C1, CRH, POMC ／ ACTH 受容体の補助: MRAP ／ アンドロゲン合成: HSD17B3, AKR1C3
#      アンドロゲン作用: AR, SRD5A2 ／ アルドステロン: CYP11B2, NR3C2
#   4. 同族デコイ 50: CYP 系のうちステロイド合成の 6 個を除き、Open Targets（MONDO_0018479）< 0.1
#   5. Open Targets 関連スコア上位 100（候補表に無い TNXA は除外）
#   ここまで重複を除いて 152 件。残り 848 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名（UniProt Gene Names、カンマ区切り、最大4）
FBXW5		F-box/WD repeat-containing protein 5	FBW5,PP3971
NDEL1		Nuclear distribution protein nudE-like 1	EOPA,MITAP1,NUDEL
U2AF1L4		Splicing factor U2AF 26 kDa subunit	U2AF1-RS3,U2AF1L3
IKBKG		NF-kappa-B essential modulator	FIP3,NEMO
ASPG		60 kDa lysophospholipase	C14orf76
OR6C70		Olfactory receptor 6C70	
RABAC1		Prenylated Rab acceptor protein 1	PRA1,PRAF1
ATXN3L		Ataxin-3-like protein	ATX3L,MJDL
PHLDA3		Pleckstrin homology-like domain family A member 3	TIH1
BLTP3B		Bridge-like lipid transfer protein family member 3B	SHIP164,UHRF1BP1L
PLK1		Serine/threonine-protein kinase PLK1	PLK
DACH1		Dachshund homolog 1	DACH
ZNF593OS		Transmembrane protein ZNF593OS	
ISG15		Ubiquitin-like protein ISG15	G1P2,UCRP
CLCN2		Chloride channel protein 2	
DNAJC13		DnaJ homolog subfamily C member 13	RME8
LYRM9		LYR motif-containing protein 9	C17orf108,HSD24
ZNF740		Zinc finger protein 740	TB7
KLK15		Kallikrein-15	
GET4		Golgi to ER traffic protein 4 homolog	C7orf20,CEE,TRC35
UAP1L1		UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	
ZNF585A		Zinc finger protein 585A	
GYPE		Glycophorin-E	GPE
KXD1		KxDL motif-containing protein 1	C19orf50
LMAN1		Protein ERGIC-53	ERGIC53,F5F8D
NOS1		Nitric oxide synthase 1	
SNX9		Sorting nexin-9	SH3PX1,SH3PXD3A
SEM1		26S proteasome complex subunit SEM1	C7orf76,DSS1,SHFDG1,SHFM1
RPUSD1		Pseudouridylate synthase RPUSD1	C16orf40,RLUCL
SPRN		Shadow of prion protein	SHO
MAL		Myelin and lymphocyte protein	
DEFB108B		Beta-defensin 108B	DEFB108,DEFB8
PCDH20		Protocadherin-20	PCDH13
DNAI4		Dynein axonemal intermediate chain 4	WDR78
DCAF12L1		DDB1- and CUL4-associated factor 12-like protein 1	WDR40B
DDX49		Probable ATP-dependent RNA helicase DDX49	
ASRGL1		Isoaspartyl peptidase/L-asparaginase	ALP,CRASH
IBSP		Integrin-binding sialoprotein	BNSP
BEST1		Bestrophin-1	VMD2
RBM27		RNA-binding protein 27	
TEX261		Protein TEX261	
NPHP3		Nephrocystin-3	
CIMIP2B		Ciliary microtubule inner protein 2B	FAM166B
SAMD11		Sterile alpha motif domain-containing protein 11	
MOV10L1		RNA helicase Mov10l1	
TFF2		Trefoil factor 2	SML1
CCR5		C-C chemokine receptor type 5	CMKBR5
MFN1		Mitofusin-1	
CNTROB		Centrobin	LIP8,PP1221
ATG9A		Autophagy-related protein 9A	APG9L1
CASR		Extracellular calcium-sensing receptor	GPRC2A,PCAR1
ZNF382		Zinc finger protein 382	
OR2T12		Olfactory receptor 2T12	
HOMER3		Homer protein homolog 3	
DCDC1		Doublecortin domain-containing protein 1	DCDC5
CAT		Catalase	
ANKRD34C		Ankyrin repeat domain-containing protein 34C	
LHFPL2		LHFPL tetraspan subfamily member 2 protein	
FOLR2		Folate receptor beta	
PLA2G7		Platelet-activating factor acetylhydrolase	PAFAH
FADD		FAS-associated death domain protein	MORT1,GIG3
TNFSF14		Tumor necrosis factor ligand superfamily member 14	HVEML,LIGHT
KLK8		Kallikrein-8	NRPN,PRSS19,TADG14
ZNF138		Zinc finger protein 138	
GRIA1		Glutamate receptor 1	GLUA1,GLUH1,GLUR1
SLC44A4		Choline transporter-like protein 4	C6orf29,CTL4,NG22,TPPT1
SOX18		Transcription factor SOX-18	
LCE1C		Late cornified envelope protein 1C	LEP3
RANBP3L		Ran-binding protein 3-like	
ZNF229		Zinc finger protein 229	
TNRC18		Trinucleotide repeat-containing gene 18 protein	CAGL79
KLHL42		Kelch-like protein 42	KLHDC5
TADA2B		Transcriptional adapter 2-beta	ADA2B
CPNE2		Copine-2	
ODF4		Outer dense fiber protein 4	OPPO1
SPATA32		Spermatogenesis-associated protein 32	C17orf46,TEX34
